ADT-HURSAT SID ,ALT SID IBTrACS,ATCF ID   ,Names and sources in IBTrACS
1979333N12153  ,               ,bwp261979 ,bwp261979[jtwc_wp] = UNNAMED[cma] = TD1201[hko] = UNNAMED[td9636] = 26W[ds824]
1979344S12170  ,               ,none      ,OFA[wellington] = OFA[neumann]
1980001S13173  ,               ,bsh051980 ,bsh051980[jtwc_sh] = PENI[wellington] = UNNAMED[td9636] = PENI[neumann] = 05P[ds824]
1980003S15137  ,               ,bsh061980 ,bsh061980[jtwc_sh] = PAUL[bom] = PAUL[wellington] = UNNAMED[td9636] = PAUL[neumann] = 06P[ds824] = PAUL[ds824]
1980033S12161  ,               ,bsh131980 ,bsh131980[jtwc_sh] = RAE[wellington] = UNNAMED[td9636] = RAE[neumann] = 13P[ds824]
1980042S17149  ,               ,bsh141980 ,bsh141980[jtwc_sh] = RUTH[bom] = RUTH[wellington] = UNNAMED[td9636] = RUTH[neumann] = 14P[ds824] = RUTH[ds824]
1980052S16155  ,               ,bsh171980 ,bsh171980[jtwc_sh] = SIMON[bom] = SIMON[wellington] = UNNAMED[td9636] = SIMON[neumann] = 17P[ds824] = SIMON[ds824]
1980069S12161  ,               ,bsh201980 ,bsh201980[jtwc_sh] = SINA[bom] = SINA[wellington] = UNNAMED[td9636] = SINA[neumann] = SINA[ds824] = 20P[ds824]
1980081S12170  ,               ,bsh231980 ,bsh231980[jtwc_sh] = TIA[wellington] = UNNAMED[td9636] = TIA[neumann] = 23P[ds824]
1980085S09170  ,               ,bsh261980 ,bsh261980[jtwc_sh] = VAL[wellington] = UNNAMED[td9636] = VAL[neumann] = 26P[ds824]
1980092S15183  ,               ,bsh281980 ,bsh281980[jtwc_sh] = WALLY[wellington] = UNNAMED[td9636] = WALLY[neumann] = 28P[ds824]
1980094N02179  ,               ,bwp021980 ,bwp021980[jtwc_wp] = CARMEN[tokyo] = CARMEN[cphc] = CARMEN[cma] = CARMEN[hko] = UNNAMED[td9636] = CARMEN[ds824]
1980133N07149  ,               ,bwp041980 ,bwp041980[jtwc_wp] = ELLEN[tokyo] = ELLEN[cma] = ELLEN[hko] = UNNAMED[td9636] = ELLEN[ds824]
1980137N04158  ,               ,bwp051980 ,bwp051980[jtwc_wp] = FORREST[tokyo] = FORREST[cma] = FORREST[hko] = UNNAMED[td9636] = FORREST[ds824]
1980161N09249  ,               ,bep011980 ,AGATHA[hurdat_epa] = bep011980[jtwc_ep] = UNNAMED[td9636] = bep011980[atcf] = AGATHA[ds824]
1980169N12250  ,               ,bep021980 ,BLAS[hurdat_epa] = bep021980[jtwc_ep] = UNNAMED[td9636] = bep021980[atcf] = BLAS[ds824]
